Iteration	Posterior	Likelihood	Prior	rate_log_sd	tree_length
0	-1000.314	-1233.247	232.9322	0.959825	1.439974
6	-1001.125	-1233.846	232.7213	1.099442	1.494027
12	-1011.994	-1245.002	233.0075	1.658241	0.6722296
18	-1009.616	-1242.773	233.1571	1.508646	0.6722296
24	-1007.791	-1240.802	233.0108	1.603604	0.7577453
30	-1012.568	-1245.618	233.0501	1.603604	0.6946198
36	-1023.672	-1256.766	233.0935	1.453975	0.8467778
42	-1014.58	-1247.77	233.1893	1.293315	0.9214596
48	-1014.358	-1246.582	232.2231	1.076989	1.865333
54	-1017.2	-1249.34	232.14	0.7732655	2.12358
60	-1014.187	-1246.709	232.5222	0.8129334	1.841307
66	-1017.678	-1250.149	232.4712	1.3242	1.513031
72	-1016.92	-1249.745	232.8251	1.099532	1.414847
78	-1021.496	-1253.974	232.4781	1.053548	1.70449
84	-1019.188	-1251.627	232.439	1.053548	1.732043
90	-1012.167	-1244.714	232.5475	1.077138	1.638131
96	-1010.308	-1243.162	232.8539	1.02065	1.453288
102	-1009.806	-1241.953	232.147	1.033066	1.946678
108	-1007.89	-1240.177	232.2867	1.005999	1.870351
114	-998.8481	-1231.244	232.3959	1.161036	1.686503
120	-1008.499	-1241.245	232.7465	1.0091	1.542595
126	-1003.08	-1235.864	232.784	1.212127	1.358946
132	-1006	-1238.858	232.8584	1.289812	1.23519
138	-1010.012	-1242.367	232.355	1.233052	1.664338
144	-1012.427	-1244.835	232.4074	0.904358	1.857369
150	-998.9846	-1231.367	232.3822	0.9295172	1.857369
156	-1007.306	-1240.429	233.1225	0.8903638	1.345675
162	-1002.736	-1235.177	232.4406	1.016369	1.756959
168	-998.8921	-1231.88	232.9883	1.124917	1.264338
174	-996.4078	-1229.081	232.6737	0.7982204	1.746535
180	-1003.396	-1235.94	232.5442	0.9277038	1.746535
186	-1007.471	-1239.974	232.5036	0.6674445	1.952755
192	-995.9958	-1227.731	231.7349	0.6873411	2.43819
198	-995.6863	-1228.296	232.61	0.9673816	1.671975
204	-996.1042	-1229.289	233.1852	1.068605	1.144041
210	-1000.278	-1232.681	232.4033	1.017333	1.782327
216	-1003.308	-1235.796	232.488	0.932635	1.782327
222	-1006.146	-1238.501	232.3558	0.9663981	1.850202
228	-1002.583	-1234.787	232.2044	0.9280282	1.978668
